task_id,task_name,start_date,end_date,duration_days,required_objects,priority
TASK001,Site Preparation,2026-03-01,2026-03-05,5,OBJ010,High
TASK002,Foundation Work,2026-03-06,2026-03-20,15,OBJ001;OBJ004,High
TASK003,Steel Structure,2026-03-21,2026-04-10,21,OBJ002;OBJ007,High
TASK004,Concrete Pouring,2026-04-11,2026-04-25,15,OBJ006;OBJ001,High
TASK005,Scaffolding Setup,2026-03-06,2026-05-15,71,OBJ005,Medium
TASK006,Material Staging,2026-02-15,2026-05-31,106,OBJ003;OBJ011,Medium
TASK007,Equipment Maintenance,2026-03-01,2026-05-31,92,OBJ009,Low
TASK008,Safety Inspections,2026-03-01,2026-05-31,92,OBJ010,High
TASK009,Electrical Installation,2026-04-26,2026-05-15,20,OBJ012;OBJ009,Medium
TASK010,Final Cleanup,2026-05-16,2026-05-31,16,OBJ008;OBJ011,Low
